Fecha,Precio Minimo Mes,Precio Maximo Mes
2006-04-30,39.030089,70.27100566666667
2006-05-31,41.18799799999999,67.34195633333333
2006-06-30,37.486778,68.71969466666668
2006-07-31,38.316243,78.47182633333333
2006-08-31,41.63553,80.987155
2006-09-30,78.436718,142.06871800000002
2006-10-31,81.167422,171.43913033333334
2006-11-30,55.30391533333333,100.64174866666669
2006-12-31,51.21372,81.01726166666666
2007-01-31,56.64060966666667,110.263943
2007-02-28,100.83568666666666,112.05406166666668
2007-03-31,85.86596333333334,109.43179666666668
2007-04-30,80.692261,100.04367766666668
2007-05-31,60.44486566666666,84.91374066666667
2007-06-30,59.79416166666667,92.545495
2007-07-31,64.98484833333333,92.201515
2007-08-31,64.98493066666667,112.25184733333332
2007-09-30,60.16484666666667,91.39388833333332
2007-10-31,45.22460366666667,109.80710366666666
2007-11-30,41.608755,89.73287999999998
2007-12-31,67.597021,101.721896
2008-01-31,68.09843566666666,104.73947733333334
2008-02-29,77.55257966666667,124.45570466666668
2008-03-31,60.19773833333334,103.76657166666666
2008-04-30,81.06408266666666,139.00849933333333
2008-05-31,40.79276,117.706385
2008-06-30,43.433906666666665,97.57932333333332
2008-07-31,37.85616100000001,94.682911
2008-08-31,45.76057733333332,99.68757733333332
2008-09-30,48.33199033333333,110.72061533333331
2008-10-31,55.269384,104.651884
2008-11-30,39.58358533333333,125.634627
2008-12-31,47.26350833333333,182.7995083333333
2009-01-31,115.309981,161.92481433333333
2009-02-28,100.87672733333332,146.90672733333332
2009-03-31,69.39817866666668,138.777887
2009-04-30,73.398805,119.85543
2009-05-31,89.33560166666666,150.231435
2009-06-30,97.28918933333334,166.26418933333332
2009-07-31,84.81719199999999,158.99402533333333
2009-08-31,114.68864033333334,152.0066
2009-09-30,120.52575866666666,269.796592
2009-10-31,132.85067,285.6868766666667
2009-11-30,126.796878,202.157753
2009-12-31,118.709253,266.2148363333333
2010-01-31,118.49534,199.85393366666665
2010-02-28,127.49713766666666,307.8282953333333
2010-03-31,156.67727166666666,286.177923
2010-04-30,147.13826766666668,278.073664
2010-05-31,134.556054,175.52771099999998
2010-06-30,69.40917766666666,133.06291333333334
2010-07-31,69.71552766666666,98.27183433333336
2010-08-31,62.301637,123.043347
2010-09-30,91.875969,147.34168599999998
2010-10-31,114.73553599999998,161.901536
2010-11-30,45.395318333333336,122.63315166666666
2010-12-31,40.07865666666667,90.64692966666668
2011-01-31,59.597189333333326,128.0300093333333
2011-02-28,91.38895733333334,130.14354366666666
2011-03-31,46.22775333333333,98.55857266666668
2011-04-30,35.35667433333334,113.931393
2011-05-31,38.79784766666666,74.493972
2011-06-30,37.750553,78.64042633333332
2011-07-31,38.23312133333334,73.02017000000001
2011-08-31,64.06130866666666,116.66474633333333
2011-09-30,68.95264166666666,117.84721233333336
2011-10-31,37.796322,116.86086866666663
2011-11-30,50.04305933333334,86.94982833333334
2011-12-31,41.181629,72.72743033333334
2012-01-31,40.708854,91.34860766666668
2012-02-29,42.79800733333334,138.88807366666666
2012-03-31,69.32490833333333,144.041136
2012-04-30,39.349792,91.82887066666666
2012-05-31,38.39798,63.974796
2012-06-30,39.503953,128.13445566666667
2012-07-31,46.077538,135.716136
2012-08-31,118.69617466666666,174.92070866666666
2012-09-30,129.00687333333337,256.99360299999995
2012-10-31,134.17599033333332,264.6849633333333
2012-11-30,131.33625033333334,194.4741693333333
2012-12-31,153.98720233333333,210.15548733333333
2013-01-31,152.05655433333334,206.11947866666665
2013-02-28,143.97891233333334,240.78832166666663
2013-03-31,81.70121499999999,209.417874
2013-04-30,143.79242933333333,398.87043366666666
2013-05-31,54.544143,181.27675666666664
2013-06-30,80.618354,198.5542313333333
2013-07-31,147.17623033333334,340.7683413333333
2013-08-31,93.424751,229.41322466666665
2013-09-30,104.044796,167.08194466666666
2013-10-31,122.81125000000002,383.8123963333334
2013-11-30,153.5492396666667,420.3982593333333
2013-12-31,102.97215566666668,208.31518366666668
2014-01-31,112.191836,189.68205566666663
2014-02-28,156.98953333333336,212.91474066666663
2014-03-31,128.24755966666666,179.31779733333337
2014-04-30,150.90990466666668,478.8749580000001
2014-05-31,258.136169,462.6787376666667
2014-06-30,123.85007066666668,473.162118
2014-07-31,123.73791633333332,368.9720256666666
2014-08-31,146.78045266666666,364.3250023333333
2014-09-30,132.06161,276.979009
2014-10-31,139.36231966666668,330.716763
2014-11-30,124.268975,195.069783
2014-12-31,110.626795,221.1772423333333
2015-01-31,151.498149,237.91383800000003
2015-02-28,127.579839,200.3188046666667
2015-03-31,157.85292466666667,242.5164873333334
2015-04-30,128.88432600000002,197.14410933333335
2015-05-31,155.79208166666663,459.744696
2015-06-30,92.72833133333334,223.046964
2015-07-31,156.17327066666667,245.9257003333333
2015-08-31,135.834432,237.60454733333333
2015-09-30,214.98120500000005,966.8941813333334
2015-10-31,553.7906713333333,1942.6927996666664
2015-11-30,557.116087,822.881457
2015-12-31,404.801407,816.8703456666667
2016-01-31,407.5659666666666,770.7685406666666
2016-02-29,408.7392946666666,868.736911
2016-03-31,686.9219370000001,884.3656870000001
2016-04-30,157.02052333333333,804.1285656666668
2016-05-31,111.739356,159.94891866666669
2016-06-30,115.151569,272.41195866666664
2016-07-31,97.205741,153.82599533333334
2016-08-31,125.48381466666667,309.750058
2016-09-30,78.43790433333334,269.82027166666666
2016-10-31,114.25474566666666,247.92218900000003
2016-11-30,126.29974333333332,198.695237
2016-12-31,61.17254499999999,148.459459
2017-01-31,69.69413099999998,148.969493
2017-02-28,92.87973366666664,197.545605
2017-03-31,75.14759333333332,168.07206333333332
2017-04-30,67.54995433333333,136.23957366666664
2017-05-31,62.79466266666666,102.788472
2017-06-30,65.859633,84.14922
2017-07-31,64.502807,87.24203533333336
2017-08-31,64.343773,138.54440333333335
2017-09-30,102.12831066666666,143.966866
2017-10-31,106.23805933333333,173.11682333333337
2017-11-30,83.55770633333333,164.56514333333334
2017-12-31,72.44799433333334,162.96831466666666
2018-01-31,94.12136000000002,144.26584333333332
2018-02-28,127.24746966666667,158.38054866666667
2018-03-31,115.505895,212.6909643333333
2018-04-30,70.72174633333334,153.95819100000003
2018-05-31,64.74216566666666,109.93913833333336
2018-06-30,65.882769,102.77216033333332
2018-07-31,67.55212666666667,108.646424
2018-08-31,72.19403533333333,138.54378666666668
2018-09-30,71.27926866666667,154.86706466666666
2018-10-31,72.43596166666667,180.441112
2018-11-30,82.22519399999999,162.017912
2018-12-31,88.460955,344.58780466666667
2019-01-31,169.33574833333333,375.750485
2019-02-28,246.6019543333333,378.223477
2019-03-31,184.47960166666667,333.571394
2019-04-30,105.44680766666666,265.64078233333333
2019-05-31,111.10383566666668,293.5233553333333
2019-06-30,81.71949733333334,153.489418
2019-07-31,105.49321333333334,150.81613833333336
2019-08-31,104.638141,213.585803
2019-09-30,177.22942666666663,414.8748950000001
2019-10-31,165.923952,416.9263523333333
2019-11-30,161.4419793333333,307.6836836666667
2019-12-31,217.336299,382.9811423333333
2020-01-31,136.4908333333333,418.56666666666666
2020-02-29,281.87125,604.065
2020-03-31,202.7783333333333,468.85625
2020-04-30,169.905,368.1658333333333
2020-05-31,256.1075,475.6083333333333
2020-06-30,215.6545833333333,420.0625
2020-07-31,117.4575,239.33666666666667
2020-08-31,131.28916666666666,201.05
2020-09-30,122.35083333333334,171.79583333333335
2020-10-31,113.06374999999998,323.09833333333336
2020-11-30,114.62416666666668,274.70666666666665
2020-12-31,112.4575,223.5641666666667
2021-01-31,130.05416666666667,246.6533333333333
2021-02-28,231.53958333333333,301.87333333333333
2021-03-31,122.99833333333332,218.34333333333333
2021-04-30,135.39,188.3258333333333
